ResponseID,A1_Role,A2_Experience,A3_Involvement,A4_Projects,B1_Size,B2_Vendor,B3_Approach,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,G1,G2,G3,G4,G5,G6,G7,H1,H2,H3,H4,I1,I2,I3,I4_Score,J1_Mistakes,J2_Success,J3_Failed,J4_Features,J5_Comments
11,Other NBR/customs official,11-15 years,"Yes, as core project team member",Risk management / risk scoring system; Customs automation system (e.g. ASYCUDA / national system); AI / machine-learning-based analytics for targeting or anomaly detection; National single window / trade portal,"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),2,1,3,2,2,2,2,4,3,4,3,2,4,4,4,4,4,5,5,4,5,4,4,4,4,4,5,4,4,4,5,5,4,3,1,3,5,2,2,3,5,Poor coordination between customs operational teams and ICT teams. They work in silos without proper communication channels.,"Risk management pilot at Hazrat Shahjalal Airport worked well due to clear scope definition, dedicated customs technical liaison officer, and iterative improvements based on officer feedback over 6 months before scaling.","AI-powered valuation system rejected by traders because it consistently overvalued goods, appeals process was cumbersome, and system couldn't explain its decisions leading to disputes and delays.","Knowledge transfer tied to payments, Bangla documentation requirement, clear governance structure with decision-makers identified upfront, user feedback mechanisms built into each sprint, sustainability and local capacity building focus.","Framework should include specific provisions for AI/ML projects: data quality assessment, model explainability requirements, bias testing, and performance monitoring. These are different from traditional ICT projects."
12,ICT / IT professional (vendor / private firm),11-15 years,"Yes, as core project team member",E-payment / e-declaration systems; AI / machine-learning-based analytics for targeting or anomaly detection; Risk management / risk scoring system,"Large (multi-year, national rollout)",Shared - mixed internal and external responsibility,Hybrid approach (combination of structured phases and agile iterations),3,4,2,3,3,3,3,3,3,2,3,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,1,1,1,5,4,4,3,7,Poor communication between customs stakeholders and vendor teams. Key decisions are delayed because decision-makers are not available.,"Automated manifest processing system at Benapole land port succeeded because of strong vendor partnership, proper knowledge transfer to customs IT staff, and gradual rollout allowing officers to adapt.","Blockchain-based trade finance system was abandoned after 18 months because technology was too advanced for current infrastructure, vendors couldn't deliver promised features, and traders saw no benefit over existing systems.","Time-boxed sprints of 4-6 weeks with working deliverables, mandatory user acceptance testing before each release, continuous integration and testing practices, transparent progress dashboards accessible to all stakeholders.","Importance of data governance framework cannot be overstated. Without proper data quality and privacy policies, AI systems will fail. Also need balance between modernization and practical usability - not all advanced features are needed."
13,ICT / IT professional (vendor / private firm),0-5 years,"Yes, as core project team member",Customs automation system (e.g. ASYCUDA / national system); E-payment / e-declaration systems; AI / machine-learning-based analytics for targeting or anomaly detection; National single window / trade portal,"Large (multi-year, national rollout)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),4,2,4,4,3,4,5,3,3,3,4,3,3,4,4,5,4,4,4,4,4,4,5,5,5,5,3,3,5,4,4,4,3,4,4,5,5,3,4,4,6,Inadequate budget allocation for proper testing and quality assurance. Projects are rushed to meet unrealistic deadlines.,"Integrated scanner system with risk management worked well due to clear acceptance criteria, regular demonstrations to stakeholders, and comprehensive training program for both officers and traders.","Integrated border management system never completed due to scope creep, budget overruns, coordination failures between multiple agencies, and vendor contract disputes. Project stalled for 2 years.","Co-creation workshops mandatory in requirements phase, iterative pilot deployments at single location first, formal change management plan with training budget, dedicated product owner from customs side, regular demonstrations to key stakeholders.","Post-implementation review and monitoring is critical but often neglected. Systems are deployed and then forgotten. Need mandatory 6-month and 1-year reviews to assess actual usage, benefits, and required improvements."
14,BCS (Customs & VAT) cadre officer,More than 15 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",E-payment / e-declaration systems; Customs automation system (e.g. ASYCUDA / national system); AI / machine-learning-based analytics for targeting or anomaly detection; Risk management / risk scoring system,"Small (less than 6 months, small project team)",High - primarily vendor-driven,"Mainly waterfall / traditional (sequential stages, detailed up-front planning)",3,3,3,3,4,2,4,3,2,1,3,2,1,3,5,4,3,4,4,2,4,5,5,5,4,4,5,5,5,5,5,5,5,2,2,2,5,2,2,1,6,"Poor data quality assessment at the beginning. Projects start without understanding existing data gaps, leading to AI systems that cannot function properly.","Risk management pilot at Hazrat Shahjalal Airport worked well due to clear scope definition, dedicated customs technical liaison officer, and iterative improvements based on officer feedback over 6 months before scaling.","Comprehensive cargo tracking system failed because GPS devices were not properly maintained, data transmission was unreliable, and officers didn't trust the system preferring manual verification methods.","Co-creation workshops mandatory in requirements phase, iterative pilot deployments at single location first, formal change management plan with training budget, dedicated product owner from customs side, regular demonstrations to key stakeholders.","Balance between agility and structure is key. Too much structure kills innovation, too much agility creates chaos in government context. Hybrid approach must be carefully designed for customs environment."
15,Other NBR/customs official,6-10 years,"Yes, as project manager / team leader",Risk management / risk scoring system; AI / machine-learning-based analytics for targeting or anomaly detection; National single window / trade portal,"Large (multi-year, national rollout)",Shared - mixed internal and external responsibility,"Mainly waterfall / traditional (sequential stages, detailed up-front planning)",2,1,2,2,3,3,3,3,2,2,1,2,2,5,4,4,5,3,5,4,4,4,5,4,4,5,3,3,5,3,5,3,5,2,2,3,5,3,3,3,5,Poor coordination between customs operational teams and ICT teams. They work in silos without proper communication channels.,"Automated manifest processing system at Benapole land port succeeded because of strong vendor partnership, proper knowledge transfer to customs IT staff, and gradual rollout allowing officers to adapt.","Advanced AI-based risk analytics system failed because vendor didn't understand local customs procedures, poor data integration with ASYCUDA system, and officers maintained parallel manual systems defeating the purpose. Project delayed 3 years and never fully operational.","Mandatory pilot phase clause before national rollout, dedicated customs technical liaison with 70% time commitment, knowledge transfer milestones tied to vendor payments, Bangla language interface requirement, regular stakeholder forums every 2 weeks.",Customs should establish a dedicated ICT project management office (PMO) with trained staff. Current ad-hoc approach leads to repeated mistakes. PMO should maintain best practices library and provide guidance to project teams.
16,Trade professional (importer / exporter / customs broker),More than 15 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",Risk management / risk scoring system; National single window / trade portal; AI / machine-learning-based analytics for targeting or anomaly detection,"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),2,2,3,3,3,3,3,2,2,2,2,1,3,4,5,5,5,3,4,4,4,4,5,4,4,4,3,4,5,4,5,4,4,2,1,2,5,4,4,5,7,"Ignoring user needs and feedback. Systems are designed without understanding actual trade workflows, making them difficult to use.","Electronic bond management system succeeded at Dhaka Customs House due to strong support from Commissioner, weekly progress reviews, and vendor team that understood customs procedures well.","Advanced AI-based risk analytics system failed because vendor didn't understand local customs procedures, poor data integration with ASYCUDA system, and officers maintained parallel manual systems defeating the purpose. Project delayed 3 years and never fully operational.","Time-boxed sprints of 4-6 weeks with working deliverables, mandatory user acceptance testing before each release, continuous integration and testing practices, transparent progress dashboards accessible to all stakeholders.","Framework should include specific provisions for AI/ML projects: data quality assessment, model explainability requirements, bias testing, and performance monitoring. These are different from traditional ICT projects."
17,ICT / IT professional (vendor / private firm),11-15 years,"Yes, as project manager / team leader",AI / machine-learning-based analytics for targeting or anomaly detection; E-payment / e-declaration systems,"Medium (6-18 months, multiple stakeholders)",Shared - mixed internal and external responsibility,"Mainly waterfall / traditional (sequential stages, detailed up-front planning)",4,3,3,3,4,3,2,2,3,3,3,2,3,5,5,5,5,5,4,5,5,4,4,5,4,5,4,5,4,4,4,4,4,3,4,2,4,5,5,4,7,Inadequate budget allocation for proper testing and quality assurance. Projects are rushed to meet unrealistic deadlines.,"Mobile app for customs declaration submission was successful due to user-centered design approach, extensive testing with C&F agents, and Bangla language interface that made it accessible to all users.","National trade portal rollout without pilot failed due to poor requirements gathering, system couldn't handle actual transaction volumes, frequent downtimes, and traders reverted to old methods. Millions wasted.","Time-boxed sprints of 4-6 weeks with working deliverables, mandatory user acceptance testing before each release, continuous integration and testing practices, transparent progress dashboards accessible to all stakeholders.","Traders and C&F agents should be involved much earlier in projects, not just at testing phase. Their input during requirements and design phases would prevent many usability issues that cause low adoption rates."
18,Academic / researcher,More than 15 years,No direct involvement,Risk management / risk scoring system; E-payment / e-declaration systems; Customs automation system (e.g. ASYCUDA / national system); AI / machine-learning-based analytics for targeting or anomaly detection,"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,"Mainly waterfall / traditional (sequential stages, detailed up-front planning)",3,3,3,2,4,4,2,2,4,3,3,3,2,3,3,4,4,5,3,4,4,5,4,5,5,5,5,4,4,4,4,4,5,3,3,3,5,2,4,4,6,No lessons learned documentation. Same mistakes are repeated in subsequent projects because institutional memory is not maintained.,"Mobile app for customs declaration submission was successful due to user-centered design approach, extensive testing with C&F agents, and Bangla language interface that made it accessible to all users.","Integrated border management system never completed due to scope creep, budget overruns, coordination failures between multiple agencies, and vendor contract disputes. Project stalled for 2 years.","Co-creation workshops mandatory in requirements phase, iterative pilot deployments at single location first, formal change management plan with training budget, dedicated product owner from customs side, regular demonstrations to key stakeholders.","Importance of data governance framework cannot be overstated. Without proper data quality and privacy policies, AI systems will fail. Also need balance between modernization and practical usability - not all advanced features are needed."
19,BCS (Customs & VAT) cadre officer,6-10 years,"Yes, as project manager / team leader",Risk management / risk scoring system; E-payment / e-declaration systems; National single window / trade portal,"Large (multi-year, national rollout)",Shared - mixed internal and external responsibility,"Mainly waterfall / traditional (sequential stages, detailed up-front planning)",2,2,2,3,3,2,2,1,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,5,5,3,4,5,Over-reliance on external vendors without proper knowledge transfer and capacity building. Customs officers are left dependent on vendors even after project completion.,"Mobile app for customs declaration submission was successful due to user-centered design approach, extensive testing with C&F agents, and Bangla language interface that made it accessible to all users.","E-payment gateway integration failed due to poor system integration, security concerns, and lack of coordination with banks. Traders couldn't complete payments reliably, causing business disruption.","Time-boxed sprints of 4-6 weeks with working deliverables, mandatory user acceptance testing before each release, continuous integration and testing practices, transparent progress dashboards accessible to all stakeholders.","Balance between agility and structure is key. Too much structure kills innovation, too much agility creates chaos in government context. Hybrid approach must be carefully designed for customs environment."
20,Other NBR/customs official,More than 15 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",AI / machine-learning-based analytics for targeting or anomaly detection; National single window / trade portal; E-payment / e-declaration systems,"Small (less than 6 months, small project team)",High - primarily vendor-driven,"Mainly agile / iterative (short sprints, incremental delivery)",4,3,3,3,3,2,3,3,2,1,3,1,2,5,4,4,5,4,3,5,4,4,4,3,3,4,5,5,4,4,4,5,5,2,1,3,5,4,4,4,5,"Frequent scope creep and requirement changes due to political pressure or leadership changes, disrupting project timelines and budgets.","Single window integration for textile imports succeeded because of co-creation workshops with traders, adequate training provided before rollout, and effective helpdesk support during initial months.","AI-powered valuation system rejected by traders because it consistently overvalued goods, appeals process was cumbersome, and system couldn't explain its decisions leading to disputes and delays.","Pilot-first approach mandatory, customs domain expert in vendor team, regular stakeholder forums, clear acceptance criteria per iteration, post-deployment performance monitoring, institutional memory documentation.","We need institutional memory - every project starts from zero. Also need career incentives for officers managing ICT projects, not just revenue collection. Framework should force continuous dialogue between technical teams and field operations."
21,Other NBR/customs official,0-5 years,"Yes, as core project team member",AI / machine-learning-based analytics for targeting or anomaly detection; National single window / trade portal; E-payment / e-declaration systems; Customs automation system (e.g. ASYCUDA / national system),"Large (multi-year, national rollout)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),4,3,3,3,4,2,4,3,2,1,2,1,1,3,2,2,4,4,4,3,3,4,5,5,4,4,3,4,4,4,4,5,5,2,3,2,4,4,4,4,7,Poor coordination between customs operational teams and ICT teams. They work in silos without proper communication channels.,"E-payment system pilot at Chittagong port was successful because of strong Additional Commissioner champion who ensured regular stakeholder meetings, phased rollout starting with single location, and continuous C&F agent feedback sessions throughout implementation.","Comprehensive cargo tracking system failed because GPS devices were not properly maintained, data transmission was unreliable, and officers didn't trust the system preferring manual verification methods.","Knowledge transfer tied to payments, Bangla documentation requirement, clear governance structure with decision-makers identified upfront, user feedback mechanisms built into each sprint, sustainability and local capacity building focus.",Customs should establish a dedicated ICT project management office (PMO) with trained staff. Current ad-hoc approach leads to repeated mistakes. PMO should maintain best practices library and provide guidance to project teams.
22,ICT / IT professional (vendor / private firm),11-15 years,"Yes, as core project team member",E-payment / e-declaration systems; AI / machine-learning-based analytics for targeting or anomaly detection; National single window / trade portal,"Medium (6-18 months, multiple stakeholders)",Shared - mixed internal and external responsibility,Hybrid approach (combination of structured phases and agile iterations),3,5,4,5,3,5,4,3,3,3,3,2,3,5,5,5,5,5,5,5,4,5,4,5,4,4,5,5,4,5,4,4,5,2,4,4,5,4,4,4,7,Resistance to agile methodologies. Customs insists on waterfall approach even for projects that need iterative development.,"Integrated scanner system with risk management worked well due to clear acceptance criteria, regular demonstrations to stakeholders, and comprehensive training program for both officers and traders.","E-payment gateway integration failed due to poor system integration, security concerns, and lack of coordination with banks. Traders couldn't complete payments reliably, causing business disruption.","Pilot-first approach mandatory, customs domain expert in vendor team, regular stakeholder forums, clear acceptance criteria per iteration, post-deployment performance monitoring, institutional memory documentation.","Traders and C&F agents should be involved much earlier in projects, not just at testing phase. Their input during requirements and design phases would prevent many usability issues that cause low adoption rates."
23,BCS (Customs & VAT) cadre officer,0-5 years,"Yes, as core project team member",Risk management / risk scoring system; AI / machine-learning-based analytics for targeting or anomaly detection; E-payment / e-declaration systems,"Large (multi-year, national rollout)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),3,3,2,3,1,3,1,2,1,3,2,2,2,5,4,5,4,4,4,5,5,4,4,5,4,4,5,5,5,5,5,5,5,3,3,1,5,2,5,4,6,"Lack of project documentation in Bangla. All technical documentation is in English, making it inaccessible to most officers.","Automated invoice verification module worked because it was piloted with 5 large importers first, their feedback was incorporated, and then gradually expanded to all traders over 8 months.","Automated classification system failed because AI model was trained on foreign data that didn't match Bangladesh tariff structure, poor accuracy led to disputes, and system was eventually abandoned.","Requirements traceability matrix maintained throughout, version control for all project documents, regular risk assessment workshops, contingency planning for vendor non-performance, clear escalation paths for decision-making.","Post-implementation review and monitoring is critical but often neglected. Systems are deployed and then forgotten. Need mandatory 6-month and 1-year reviews to assess actual usage, benefits, and required improvements."
24,Other NBR/customs official,11-15 years,"Yes, as project manager / team leader",Risk management / risk scoring system; Customs automation system (e.g. ASYCUDA / national system); E-payment / e-declaration systems,"Large (multi-year, national rollout)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),2,3,2,3,4,3,3,4,3,3,4,3,3,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,4,5,5,4,5,2,2,2,3,4,4,3,5,"Frequent scope creep and requirement changes due to political pressure or leadership changes, disrupting project timelines and budgets.","Mobile app for customs declaration submission was successful due to user-centered design approach, extensive testing with C&F agents, and Bangla language interface that made it accessible to all users.","AI-based anomaly detection system had high false positive rates, vendor abandoned project mid-way due to payment delays, and customs lacked technical capacity to maintain it. System is now non-functional.","Co-creation workshops mandatory in requirements phase, iterative pilot deployments at single location first, formal change management plan with training budget, dedicated product owner from customs side, regular demonstrations to key stakeholders.","We need institutional memory - every project starts from zero. Also need career incentives for officers managing ICT projects, not just revenue collection. Framework should force continuous dialogue between technical teams and field operations."
25,BCS (Customs & VAT) cadre officer,0-5 years,"Yes, as end-user / stakeholder (training, pilot, etc.)",Customs automation system (e.g. ASYCUDA / national system); National single window / trade portal; Risk management / risk scoring system; E-payment / e-declaration systems,"Medium (6-18 months, multiple stakeholders)",High - primarily vendor-driven,Hybrid approach (combination of structured phases and agile iterations),1,3,3,2,4,3,2,1,3,2,4,5,4,5,5,5,5,5,5,4,4,3,3,3,3,4,4,4,5,4,5,5,4,1,2,2,5,3,3,4,5,Over-reliance on external vendors without proper knowledge transfer and capacity building. Customs officers are left dependent on vendors even after project completion.,"Risk management pilot at Hazrat Shahjalal Airport worked well due to clear scope definition, dedicated customs technical liaison officer, and iterative improvements based on officer feedback over 6 months before scaling.","E-payment gateway integration failed due to poor system integration, security concerns, and lack of coordination with banks. Traders couldn't complete payments reliably, causing business disruption.","Knowledge transfer tied to payments, Bangla documentation requirement, clear governance structure with decision-makers identified upfront, user feedback mechanisms built into each sprint, sustainability and local capacity building focus.",Better coordination with international best practices while adapting to local context. Need realistic expectations vs vendor promises. Focus on sustainability and local capacity building rather than one-time implementations.
